permit_type,dec_id,permit_issued_to,facility_name,facility_street,facility_city,facility_zip,facility_contact,facility_description,facility_mact,facility_nsps,emission_units,controls,stack_height,pollutants,potential_to_emit,emission_unit_description,process_description,monitoring_type,monitoring_frequency,parameter_monitored,upper_permit_limit,lower_permit_limit
Air State Facility,8324800059,GORBEL INC,,GORBEL INC,593 & 600 FISHERS RUN,14453,DANIEL COCCIA,,,,0-00001,,32,"2-PENTANONE, 4-METHYL, HAP, NAPHTHALENE, TOLUENE, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air Title V Facility,8342000010,SAINT-GOBAIN ADFORS AMERICA INC,SAINT-GOBAIN ADFORS AMERICA INC,14770 EAST AVE,ALBION,14411,DONNA MANDELL,,"A, JJJJJJ, ZZZZ","IIII, VVV","B-00001, F-00004, I-C0001",THERMAL OXIDATION,"12, 28, 35, 37, 38, 39, 40, 41, 42, 43, 44, 50, 58, 6","HAP, VOC",,,,,,,,
Air State Facility,8342000015,NYS DEPT OF CORRECTIONS AND COMMUNITY SUPERVISION,NYS ALBION/ORLEANS CORRECTIONAL FACILITY,3595 STATE SCHOOL RD - ALBION CAMPUS|3531 GAINES BASIN RD -,ORLEANS CAMPUS,,ERIC GREPPO,,"JJJJJJ, ZZZZ",,"0-0MAIN, 0-0SURF, 1-2GENS",,"10, 12, 140, 27","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,8342200007,KEELER CONSTRUCTION CO INC,WILSON QUARRY,14120 WEST LEE RD,ALBION,14411,SCOTT B SCHARPING,,ZZZZ,"I, OOO","1-PLANT, 2-CRUSH, 3-SCREE, 4-GENST","DUST SUPPRESSION BY WATER SPRAY, FABRIC FILTER, GRAVITY COLLECTOR","10, 14, 32","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR",,,,,,,,
Air State Facility,8343400033,BRUNNER INC,BRUNNER INC,3959 BATES RD,MEDINA,14103,"DARRYL F DIMOND, JOHN T MONELL",,,,"U--0001, U--0002, U--0003, U--0004, U--0005",FABRIC FILTER,"20, 33, 45, 50","PARTICULATES, VOC",,,,,,,,
Air State Facility,8343400046,BMP OF AMERICA INC,BMP AMERICA INC,711 PARK AVENUE,MEDINA,,JASON M PALAZZO,,,,0-00001,FABRIC FILTER,3,HAP,,,,,,,,
Air State Facility,8343600003,F & H METAL FINISHING CO INC,F & H METAL FINISHING CO,700 GENESEE ST,MEDINA,14103,TIMOTHY J FEARBY,,T,,"A-00001, A-00002",,"18, 19, 20","2-PENTANONE, 4-METHYL, HAP, METHYL ETHYL KETONE, PARTICULATES, STRONTIUM CHROMATE, TOLUENE, TRICHLOROETHYLENE, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air State Facility,8343600031,WESTERN NEW YORK ENERGY LLC,SHELBY ETHANOL PLANT,BATES RD & MAPLE RIDGE RD,MEDINA,14103,"JOHN M SAWYER, JR",,,"A, Db, Kb, VV","U-00F80, U-00S10, U-00S20, U-00S30, U-00S40, U-00S50, U-00S60, U-00S70, U-00S90, U-0S100, U-0S110, U00S30, U00S40, U00S50, U00S60, U00S70, U00S90",,"0, 125, 160, 24, 33, 36, 40, 45, 8","CARBON MONOXIDE, HAP, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,8442200001,WAGNER HARDWOODS LLC,WAGNER HARDWOODS,RT 224 & COUNTY RT 12,CAYUTA,14824,BRUCE A RICHARDS,,,Dc,"1-FOB01, 1-WDB01",MULTIPLE CYCLONE W/ FLY ASH INJECTION,"38, 60, 8",PARTICULATES,,,,,,,,
Air State Facility,8442400001,CARGILL INC,CARGILL SALT CO- WATKINS GLEN PLANT,518 E 4TH ST,WATKINS GLEN,14891,"ERIC HALLMAN, SR, KEITH SCHUESSLER",,,"A, Db, OOO","U-00007, U-00008, U-00009, U-00013, U-00014, U-00015, U-00016, U-00019, U-BLR01, U-BLR02, U00009, U00013, U00014, U00015, U00016, UBLR01","FABRIC FILTER, IMPINGEMENT PLATE SCRUBBER, LOW NOx BURNER, VENTURI SCRUBBER, WET SCRUBBER","125, 37, 39, 40, 41, 44, 73, 74, 75","OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air Title V Facility,8443200001,U S SALT LLC,U S SALT - WATKINS GLEN REFINERY,SALT PT RD,WATKINS GLEN,14891,ROBERT TRAVER,,,"A, Db","1-BOILS, 1-SALTP","CENTRIFUGAL, FABRIC FILTER, MIST ELIMINATOR, SELECTIVE NON-CATALYTIC REDUCTION, WET CYCLONIC SEPARATOR, WET SCRUBBER","150, 225, 30, 31, 32, 50, 56, 65, 70","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR, SULFUR DIOXIDE",,,,,,,,
Air State Facility,8443200041,COLUMBIA GAS TRANSMISSION CORP,COLUMBIA GAS DUNDEE COMPRESSOR STATION,4620 RT 226,ROCK STREAM,14878,P M HOFFMAN,,,,"0-07401, 0-07402, 0-07403, 0-DHY01",FLARING,"18, 30, 51","ACETALDEHYDE, ACROLEIN, BENZENE, CARBON MONOXIDE, ETHYLBENZENE, FORMALDEHYDE, HAP, HEXANE, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE, TOLUENE, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air State Facility,8452200007,SENECA STONE CORP,SENECA STONE CORP,CO RTE 121 - N SIDE - W OF HOSTER RD,FAYETTE,13065,"DAVID R DALRYMPLE, PHILLIP RAFFERTY",,,"A, I, OOO","1-00001, 1-00002, 1-00071, 1-00073, 100001, 100071, 100073, C-DGENS","DUST SUPPRESSION BY WATER SPRAY, FABRIC FILTER","10, 20, 24","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,8452800002,NYS DEPT OF CORRECTIONAL SERVICES,WILLARD DRUG TREATMENT CENTER,7116 CO RTE 132,WILLARD,14588,"KEITH D RUPERT, RICKY A BARTLETT",,ZZZZ,"A, Dc","0-0BOIL, 0-0GEN1",,"20, 70","OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,8453000075,NYS DEPT OF CORRECTIONAL SERVICES,FIVE POINTS CORRECTIONAL FACILITY,SENECA ARMY DEPOT - OFF NYS RT 96,ROMULUS,14541,KEITH D RUPERT,,,"A, Dc","0-0GENS, 0-0MAIN","FLUE GAS RECIRCULATION, LOW NOx BURNER","20, 33","CARBON MONOXIDE, HAP, LEAD, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
"Air Title V Facility, Solid Waste Management",8453200023,SENECA MEADOWS INC,SENECA MEADOWS SWMF,1786 SALCMAN RD,WATERLOO,13165,THOMAS P HASEK,,AAAA,"A, WWW","1-LEACH, 1-LFGAS, 1-SOILS",FLARING,"0, 18, 34, 38, 50","CARBON MONOXIDE, HAP, METHANE, NMOC - LANDFILL USE ONLY, OXIDES OF NITROGEN",,,,,,,,
Air Title V Facility,8453200075,SENECA ENERGY II LLC,SENECA ENERGY LFGTE FACILITY,ST RTE 414|RENEWABLE RESOURCES PARK,SENECA FALLS,13148,PETER H ZELIFF,,"A, ZZZZ","A, JJJJ, JJJJ","1-BTUPL, 3-STAGE","FLARING, THERMAL OXIDATION","29, 38, 40","CARBON DIOXIDE EQUIVALENTS, CARBON MONOXIDE, HYDROGEN SULFIDE, NMOC - LANDFILL USE ONLY, OXIDES OF NITROGEN",,,,,,,,
Air State Facility,8453200099,TARJAC INC,TARJAC INC,2241 ST RTE 414,WATERLOO,13165,LARRY J SALERNO,,,,U--0001,,"10, 12, 19, 20, 8","HAP, PARTICULATES, VOC",,,,,,,,
Air State Facility,8453200105,SCEPTER INC,SCEPTER INC. - SENECA FALLS OPERATIONS,11 LAMB ROAD,SENECA FALLS,13148,LYNN JACKSON,,RRR,,1-FURNS,"AMMONIA INJECTION, FABRIC FILTER",47,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN, AMMONIA, HAP, HYDROGEN CHLORIDE, HYDROGEN FLUORIDE, PARTICULATES",,,,,,,,
Air State Facility,8453800003,EVANS CHEMETICS LP,EVANS CHEMETICS LP,228 E MAIN ST,WATERLOO,13165,STEVEN BRUSSO,,,Dc,"1-BOILR, 1-PROCS","GAS SCRUBBER (GENERAL, NOT CLASSIFIED), PACKED-GAS ABSORPTION SYSTEM","1, 100, 15, 18, 2, 21, 23, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 40, 42, 45, 47, 52, 62","2-PENTANONE, 4-METHYL, AMMONIA, HYDROGEN CHLORIDE, HYDROGEN SULFIDE, PARTICULATES, PROPENENITRILE, VOC",,,,,,,,
Air State Facility,8453800004,FRAZIER INDUSTRIAL CO,FRAZIER INDUSTRIAL CO,1291 WATERLOO GENEVA RD,WATERLOO,13165,DAVID MILLER,,,,F--0001,PARTICULATE TRAP,"15, 30, 35, 48","BENZENE, (1-METHYLETHYL), ETHYLBENZENE, HAP, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air State Facility,8460600016,ALSTOM TRANSPORTATION INC,ALSTOM - HORNELL MOTOR SHOP,SHAWMUT PARKWAY,HORNELL,14843,LAWRENCE P TARNACKI,,,,"U-HMSPB, U-HMSVR",DIRECT FLAME AFTERBURNER,"13, 16, 20, 21, 22, 23, 24, 25, 30","1,3-ISOBENZOFURANDIONE, CARBON MONOXIDE, HAP, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, TOLUENE, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air State Facility,8460600039,STERN & STERN INDUSTRIES INC,STERN & STERN INDUSTRIES INC,188 THACHER ST,HORNELL,14843,STANLEY H CONE,,,,A-00001,,"20, 21, 29",,,,,,,,,
Air Title V Facility,8462400031,STEUBEN COUNTY,NEW BATH LANDFILL,TURNPIKE RD,BATH,14810,VINCENT SPAGNOLETTI,,,A,"1-LFGAS, 4-PWRSC",FLARING,"10, 30, 8",,,,,,,,,
Air Title V Facility,8462400159,STEUBEN RURAL ELECTRIC COOPERATIVE INC,SREC BATH LFGTE FACILITY,TURNPIKE RD - S SIDE - W OF CO RTE 15,BATH,,RICHARD MOYLE,,,A,1-LFGTE,,28,"CARBON MONOXIDE, OXIDES OF NITROGEN",,,,,,,,
Air State Facility,8463000006,KRAFT FOODS GLOBAL INC,KRAFT FOODS GLOBAL INC,8600 MAIN ST,CAMPBELL,14821,"MICHAEL GRACIA, PAM MASAKI",,,A,"0-00001, 0-00002","DYNAMIC SEPARATOR (DRY), FABRIC FILTER","17, 50, 52, 61, 67","CARBON MONOXIDE, OXIDES OF NITROGEN, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,8463000010,HAKES C & D DISPOSAL INC,HAKES C&D LANDFILL,4376 MANNING RIDGE RD,PAINTED POST,14870,JOSEPH R BOYLES,,,,U-LFGAS,BIOLOGICAL OXIDATION,7,HYDROGEN SULFIDE,,,,,,,,
Air State Facility,8463800027,COLUMBIA GAS TRANSMISSION CORP,CORNING COMPRESSOR STATION,4401 COLLEGE AVE,CORNING,14830,P M HOFFMAN,,,KKKK,"0-17501, G-EN001",,"15, 30, 32, 42","ACETALDEHYDE, ACROLEIN, BENZENE, CARBON MONOXIDE, ETHYLBENZENE, FORMALDEHYDE, HEXANE, OXIDES OF NITROGEN, PM-10, SULFUR DIOXIDE, TOLUENE, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air Title V Facility,8464200009,CORNING INC,ERWIN MANUFACTURING COMPLEX,792 ADDISON RD - S HAMILTON RD,PAINTED POST,14870,"ANGELA KNIGHT, GARY DERICHIE",,ZZZZ,"A, IIII, OOO, OOO","U-00001, U-00002, U-00005, U-00006, U-00007, U-00008, U00001, U00002, U00005, U00006, U00007, U00008","CONSERVATION VENT, DIRECT FLAME AFTERBURNER, DUST COLLECTOR, FABRIC FILTER, GAS SCRUBBER (GENERAL, NOT CLASSIFIED), LOW NOx BURNER, MIST ELIMINATOR, THERMAL OXIDATION","10, 11, 15, 18, 20, 21, 28, 30, 31, 33, 35, 37, 38, 40, 42, 45, 5, 50, 62, 65, 7, 75","HAP, HYDROGEN CHLORIDE, HYDROGEN FLUORIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, VOC",,,,,,,,
Air State Facility,8464200011,CORNING INC,CORNING INC SULLIVAN PARK,1 SCIENCE CENTER DR|END OF CO RTE 107,PAINTED POST,14870,"BLAKE D MANUEL, MARGARET M SAVINO",,ZZZZ,IIII,"S-P0001, S-P0002","ACTIVATED CARBON ADSORPTION, FABRIC FILTER, WET SCRUBBER","13, 19, 41, 67, 84, 94, 95","ARSENIC, CARBON DIOXIDE EQUIVALENTS, CARBON MONOXIDE, CHLORINE, HAP, HYDROGEN CHLORIDE, HYDROGEN FLUORIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air Title V Facility,8464200108,CORNING INCORPORATED,CORNING DIESEL MANUFACTURING FACILITY,890 ADDISON RD (ST RTE 417),PAINTED POST,14870,"ALEXANDER T RYAN, SCOTT M KULA",,,OOO,"U-00001, U-00002, U-00003, U-00004, U-00005, U-00006, U-00007","CATALYTIC OXIDATION, CONSERVATION VENT, DIRECT FLAME AFTERBURNER, FABRIC FILTER, FLUE GAS RECIRCULATION, GAS SCRUBBER (GENERAL, NOT CLASSIFIED), LOW NOx BURNER, MIST ELIMINATOR, PACKED GAS ABSORPTION SYSTEM, GAS, THERMAL OXIDATION, WET SCRUBBER","11, 12, 2, 28, 31, 32, 33, 34, 36, 37, 38, 39, 40, 42, 45, 47, 5, 50, 53, 59, 65, 7, 77, 85","CARBON MONOXIDE, HYDROGEN CHLORIDE, HYDROGEN FLUORIDE, OXIDES OF NITROGEN, PARTICULATES, PM 2.5, PM-10, VOC",,,,,,,,
Air State Facility,8464600013,COLUMBIA GAS TRANSMISSION CORP,NORTH GREENWOOD COMPRESSOR STATION,BOX 1351 COUNTY RTE 62,GREENWOOD,14839,P M HOFFMAN,,,,"0-17601, 0-DHY01, 0-DHY02",FLARING,"30, 6","BENZENE, OXIDES OF NITROGEN",,,,,,,,
Air State Facility,8465200006,HP HOOD LLC,CROWLEY FOODS ARKPORT,25 HURLBUT ST,ARKPORT,14807,ROBERT SIMMONS,,,,"A-CB001, A-CB002",,"28, 36","OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air State Facility,8467000036,INSTANTHEAT WOOD PELLETS CO INC,INSTANTHEAT WOOD PELLETS INC,7778 ST RTE 417,ADDISON,14801,MICHAEL DUELL,,,,A-00001,"FABRIC FILTER, MULTIPLE CYCLONE W/O FLY ASH INJECTION","10, 20, 65","HAP, OXIDES OF NITROGEN, PARTICULATES, VOC",,,,,,,,
Air Title V Facility,8467400004,GUNLOCKE CO INC,GUNLOCKE CO,1 GUNLOCKE DR,WAYLAND,14572,PETER HAGMIRE,,"A, JJ",,"1-00000, 2-00000, 3-00000, 4-00000, 6-00000, 6-00001","FABRIC FILTER, SINGLE CYCLONE, WATER CURTAIN","14, 16, 30, 39, 77, 89","HAP, PARTICULATES, VOC",,,,,,,,
Air Title V Facility,8468200006,DOMINION TRANSMISSION INC,WOODHULL STATION & POOL,974 CO RTE 99,WOODHULL,14898,DOMINION TRANSMISSION INC,,DDDDD,,"0-0000A, 0-0000B, 0-0000C, 0-0000D, 0-0000F",,"16, 20, 30, 35",OXIDES OF NITROGEN,,,,,,,,
Air State Facility,8469900048,WYCKOFF GAS STORAGE COMPANY LLC,WYCKOFF GAS PIPELINE & STORAGE FACILITY,"ST RTE 417, TIMMERMAN, SHERMAN, HIGHUP, THOMPSON, HOOPER HILL,",TROUPSBURG RDS,,THOMAS W COOK,,,,"U-00001, U-00002, U-00003, U-00004",,"35, 55",,,,,,,,,
Air State Facility,8542000051,NORTH AMERICAN FILTER CORP,NORTH AMERICAN FILTER CORP,200 WESTSHORE BLVD,NEWARK,14513,"DANIEL DONK, NORTH AMERICAN FILTER CORP",,,,U-10001,HIGH EFFICIENCY PARTICULATE AIR FILTER,"0, 12, 16, 19, 20, 21, 24, 25, 26, 30","HAP, PARTICULATES, VOC",,,,,,,,
Air State Facility,8542000069,REFRACTRON TECHNOLOGIES CORP,REFRACTRON TECHNOLOGIES CORP,5750 STUART AVE,NEWARK,14513,REFRACTRON TECHNOLOGIES CORP,,,,A-00001,"FABRIC FILTER, PAPER FILTER","10, 13, 15, 20, 23, 30, 36, 48, 5, 8","PARTICULATES, WAXES AND WAXY SUBSTANCES, ROSIN",,,,,,,,
Air Title V Facility,8542800006,SILGAN CONTAINERS MANUFACTURING CORP,SILGAN CONTAINERS CORP - LYONS PLANT,8673 LYONS MARENGO RD,LYONS,14489,"LUCAS BURNAP, TIMOTHY R WHITE",,,,"U-00012, U-00014, U-00022, U-00032, U-00042, U-00052, U00014, U00022, U00032, U00042, U00052",DIRECT FLAME AFTERBURNER WITH HEAT,"31, 39",TOTAL HAP,,,,,,,,
Air Title V Facility,8543000017,PLIANT CORP,PLIANT CORPORATION,200 EAST MAIN ST,MACEDON,14502,GORDON PICKERING,,KK,,"A-DHEAS, H-PRINT, H-TREAT, HPRINT, I-NKMIX, P-LATES","CATALYTIC AFTERBURNER WITH HEAT, CATALYTIC REDUCTION, THERMAL OXIDATION","22, 24, 25, 26, 29, 30, 35, 41","HAP, VOC",,,,,,,,
Air Title V Facility,8543200009,SENECA FOODS CORP,SENECA FOODS MARION PLANT,3736 S MAIN ST,MARION,14505,MICHAEL HANCHETTE,,,,0-01CAN,FABRIC FILTER,"36, 37, 38, 39, 40, 41, 43","HAP, VOC",,,,,,,,
Air State Facility,8543800001,FLEISCHMANN'S VINEGAR COMPANY INC,FLEISCHMANN'S VINEGAR PLANT,4754 ST RTE 414,NORTH ROSE,14516,FLEISCHMANN'S VINEGAR COMPANY INC,,,,"E-U0001, E-U0002",WET SCRUBBER,"38, 40, 42, 43, 44, 45",VOC,,,,,,,,
Air State Facility,8544400006,DOLOMITE PRODUCTS CO INC,ROCHESTER ASPHALT WALWORTH PLT,1200 ATLANTIC AVE,WALWORTH,14568,,,,I,"U-W4001, U-WD001","FABRIC FILTER, SINGLE CYCLONE","24, 38","CARBON MONOXIDE, PARTICULATES, PM-10",,,,,,,,
Air Title V Facility,8990800162,WASTE MANAGEMENT OF NEW YORK LLC,HIGH ACRES LANDFILL & RECYCLING CENTER,425 PERINTON PKWY,FAIRPORT,14450,JEFFREY KOCIAN,,AAAA,"A, WWW",E-U0001,FLARING,"21, 23, 29, 50, 60","HAP, METHANE, NMOC - LANDFILL USE ONLY, OXIDES OF NITROGEN",,,,,,,,
Air Title V Facility,9023200003,HYLAND FACILITY ASSOCIATES,HYLAND LANDFILL,6653 HERDMAN RD,ANGELICA,14709,"JOSEPH R BOYLES, LARRY B LACKEY",,AAAA,WWW,"1-LFGTE, 1-LNDFL",FLARING,,"CARBON DIOXIDE EQUIVALENTS, CARBON MONOXIDE, HAP, METHANE, NMOC - LANDFILL USE ONLY, OXIDES OF NITROGEN, PARTICULATES, PM-10",,,,,,,,
Air Title V Facility,9025800018,ROCHESTER GAS & ELECTRIC CORP,RG&E ALLEGANY STATION #133,11537 ST RTE 19A,FILLMORE,14735,"JOHN B KINGSTON, JOHN C ALLEN",,,"A, Dc",U-1GTDB,"SELECTIVE CATALYTIC REDUCTION (SCR), STEAM OR WATER INJECTION",213,"AMMONIA, CARBON MONOXIDE, OXIDES OF NITROGEN, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,9026000009,NATIONAL FUEL GAS SUPPLY CORPORATION,INDEPENDENCE STATION,CO RTE 22 BETW FULMER VALLEY RD & CO RTE 22A,ANDOVER,14806,JOSHUA Z ENNIS,,"HHH, ZZZZ",,"U-DEHYD, U-SRICE",DIRECT FLAME AFTERBURNER,"17, 21",OXIDES OF NITROGEN,,,,,,,,
Air State Facility,9027000025,ALSTOM POWER AIR PREHEATER COMPANY,ALSTOM POWER INC AIR PREHEATER CO,3020 TRUAX RD,WELLSVILLE,14895,THOMAS J BARNETT,,,,"E-00001, E-00003","FIBERGLASS FILTER, MAT OR PANEL FILTER","55, 65","PARTICULATES, VOC",,,,,,,,
Air Title V Facility,9027400004,NATIONAL FUEL GAS SUPPLY CORPORATION,BEECH HILL COMPRESSOR STATION,PEET RD BETWEEN GRAVES & BEECH HILL RDS,WILLING,14895,JOSHUA Z ENNIS,,"HHH, ZZZZ",,"U-00001, U-00002",DIRECT FLAME AFTERBURNER,"17, 35",OXIDES OF NITROGEN,,,,,,,,
Air State Facility,9041200012,DRESSER-RAND CO,DRESSER-RAND OLEAN OPERATIONS,NORTH 5TH ST,OLEAN,14760,"DRESSER-RAND - OLEAN OPERATIONS, GREGORY A STUBBS",,,"A, Db","D-R00B1, D-R00B2, D-RO0F1, D-ROMD1, D-ROMP1, D-ROMP2, D-ROPB1, D-ROSP1",FABRIC FILTER,"10, 27, 28, 30, 35, 36, 46, 54, 60","HAP, OXIDES OF NITROGEN, PARTICULATES, VOC",,,,,,,,
Air State Facility,9041200014,SOLEPOXY INC,SOLEPOXY INC,211 FRANKLIN ST,OLEAN,14760,JAY FULMER,,,,U-00001,FABRIC FILTER,"13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 33, 35, 36, 37","2-PENTANONE, 4-METHYL, ETHANE, 1,1,2-TRICHLORO, FORMALDEHYDE, HAP, METHYL ALCOHOL, METHYL ETHYL KETONE, PARTICULATES, TOLUENE, VOC",,,,,,,,
Air State Facility,9041200031,CYTEC INDUSTRIES INC,CYTEC OLEAN INC,1405 BUFFALO ST,OLEAN,14760,KENNETH R MAY,,,,"U-ENPTS, U-GNMFG, U-PWASH, UGNMFG",,"23, 24, 32, 33, 34, 35, 37, 44, 49, 50, 51, 54, 56, 60, 61","BENZENE, 1,3-DIISOCYANATOMETHYL, HAP, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air Title V Facility,9041200042,INDECK-OLEAN LIMITED PARTNERSHIP,INDECK OLEAN ENERGY CENTER,140 MOORE AVE,OLEAN,14760,"JAMES SCHNEIDER, JOHN E HARE",,,"A, Db",O-00001,"SELECTIVE CATALYTIC REDUCTION (SCR), STEAM OR WATER INJECTION",175,"AMMONIA, CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,9041200051,OLEAN CREMATION CO INC,OLEAN CREMATION CO,100 HOMER ST,OLEAN,14760,BRADLEY M SPINK,,,,1--0000,"COMBUSTION CHAMBER, DIRECT FLAME AFTERBURNER","17, 18",PARTICULATES,,,,,,,,
Air State Facility,9042000054,I A CONSTRUCTION CORP,I A CONSTRUCTION CORPORATION LIPPERT GRAVEL PIT,4451 SOUTH NINE MILE RD,ALLEGANY,14706,THOMAS P STAYER,,,"A, OOO","O-EU001, O-EU002",,,PARTICULATES,,,,,,,,
Air State Facility,9042000204,SWEPI LP,RUMSEY COMPRESSOR STATION,UNNAMED RD - 0.4 MI NW OF OF BABYTOWN & HARRISBURG RUN,RDS|,,KIMBERLY D COY,,ZZZZ,,1-00001,CATALYTIC REDUCTION,,"HAP, OXIDES OF NITROGEN",,,,,,,,
Air State Facility,9042200062,BUFFALO CRUSHED STONE INC,ASHFORD ASPHALT PLANT 50,HENRIETTA RD|ACROSS FROM 7020 HENRIETTA RD,ASHFORD,14141,JOSEPH S LARAISO,,,I,U-000HB,FABRIC FILTER,38,"CARBON MONOXIDE, LEAD, OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air State Facility,9042400027,NATIONAL FUEL GAS SUPPLY CORPORATION,LIMESTONE COMPRESSOR STATION,64 PARKSIDE DRIVE,LIMESTONE,14753,GARY A YOUNG,,,,"0-0000A, 0-0000B, 0-0000C, 0-0000D",,20,"OXIDES OF NITROGEN, VOC",,,,,,,,
Air Title V Facility,9043600022,LAIDLAW ENERGY & ENVIRONMENTAL INC,LAIDLAW ENERGY AND ENVIRONMENTAL INC,6662 ROUTE 219,ELLICOTTVILLE,14731,"RICHARD E MORRICAL, RODNEY GOODE",,,"A, GG","U-00001, U-00002",,20,"OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air State Facility,9045400068,NORSE PIPELINE LLC,LITTLE VALLEY COMPRESSOR STATIONS,ROUTE 353,LITTLE VALLEY,14755,MICHAEL CZERNIAK,,,,1-00001,CATALYTIC OXIDATION,"30, 37",,,,,,,,,
Air State Facility,9046600031,JOHN ASH CLEANERS INC,JOHN ASH CLEANERS INC,316 WEST STATE ST,OLEAN,14760,PETER J ASH,,M,,"0-00001, 0-00002, 0-00003, 0-00004",,"17, 20, 21","PERCHLOROETHYLENE, VOC",,,,,,,,
Air State Facility,9046600050,DOMINION TRANSMISSION INC,QUINLAN COMPRESSOR STATION,554 HOSTAGEH RD,OLEAN,14760,ROBERTA JACKSON,,ZZZZ,Dc,"1-ICENG, 2-AUXGN, 3-HEATR, 4-DEHYD",CATALYTIC OXIDATION,"0, 25, 33, 43","CARBON MONOXIDE, FORMALDEHYDE, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,9047200058,GOWANDA - GEC LLC,GOWANDA ELECTRONICS,1 MAGNETICS PKWY,GOWANDA,14070,MEL LEBAR,,,,0-UPROD,,24,"LEAD, PARTICULATES",,,,,,,,
Air State Facility,9047400051,XXXXXX X XXXXXXX,RASEY ANIMAL HOSPITAL,MAIN ST,WESTONS MILLS,14788,ROBERT RASEY,,,,0-00001,,15,"CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, PM-10, SULFUR DIOXIDE, VOC",,,,,,,,
Air State Facility,9048400129,GERNATT ASPHALT PRODUCTS INC,GERNATT YORKSHIRE BLACKTOP PLANT,11850 ROUTE 16,YORKSHIRE,14034,,,,I,1-04058,FABRIC FILTER,30,"CARBON MONOXIDE, LEAD, PARTICULATES, VOC",,,,,,,,
Air State Facility,9049900046,HOLIMONT INC,HOLIMONT SKI RESORT,FISH HILL ROAD,ELLICOTTVILLE,14731,DAVID RILEY,,,,1-COGEN,,12,OXIDES OF NITROGEN,,,,,,,,
Air State Facility,9060300001,DUNKIRK SPECIALTY STEEL LLC,DUNKIRK SPECIALTY STEEL LLC,830 BRIGHAM RD,DUNKIRK,14048,"KENNETH KUWIK, PAUL A MCGRATH",,ZZZZ,,"A-00000, B-00000, C-00000, D-00000, E-00000, F-00000, G-00000, H-00000, I-00000, J-00000, K-00000, L-00000, M-00000","FABRIC FILTER, GRAVITY COLLECTOR, WET SCRUBBER","10, 125, 15, 3, 30, 32, 38, 39, 40, 41, 42, 44, 53, 54, 60, 67, 9","CARBON MONOXIDE, HAP, HYDROGEN FLUORIDE, NITRIC ACID, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, SULFURIC ACID, VOC",,,,,,,,
Air Title V Facility,9060300021,DUNKIRK POWER LLC,DUNKIRK STEAM GENERATING STATION,106 POINT DR NORTH,DUNKIRK,14048,"ROBERT J BROMBOS, THOMAS F COATES",,,Y,"U-00001, U-00002, U-00003, U-00004, U-00005, U-00006, U-00007, U-00008, U00001, U00002, U00003, U00008","BAFFLE, DUST SUPPRESSION BY CHEMICAL, ELECTROSTATIC PRECIPITATOR, FABRIC FILTER, FABRIC FILTER, DRY SPRAY ADSORPTION, SELECTIVE NON-CATALYTIC REDUCTION","310, 312, 43, 5","AMMONIA, MERCURY, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
